Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1999.4501922211625
FDW14,OUT017,1060.8766122776938
NCN55,OUT010,2237.2324590649496
FDQ58,OUT017,2102.206759956257
FDY38,OUT027,5051.671423733167
FDH56,OUT046,1920.6611967714089
FDL48,OUT018,1308.6304289432137
FDC48,OUT027,2789.3357062499476
FDN33,OUT045,1325.3878577893333
FDA36,OUT017,2615.635374768004
FDT44,OUT017,1374.2134142306722
FDQ56,OUT045,1141.120757582702
NCC54,OUT019,2532.7956729036573
FDU11,OUT049,2091.118926275181
DRL59,OUT013,608.3887576393786
FDM24,OUT049,2622.0539134597107
FDI57,OUT045,2984.5235660411154
DRC12,OUT018,3581.7437686449607
NCM42,OUT027,3203.9321440924255
FDA46,OUT010,1334.5103859700534
FDA31,OUT013,2342.577819633368
NCJ31,OUT035,3341.955229188295
FDG52,OUT046,781.4507560081793
NCL19,OUT019,1250.4318873410384
FDS10,OUT035,2681.461217518061
FDX22,OUT010,1907.5212010146024
NCF19,OUT035,603.5727665194458
NCE06,OUT046,2502.416353253435
DRC27,OUT046,3896.4965805628594
FDE21,OUT035,1707.7883666613611
NCR42,OUT019,-533.9768520857173
FDX51,OUT018,3673.583014968854
NCR06,OUT018,1260.0981372097026
FDU31,OUT027,4954.621660288583
FDU59,OUT017,2108.125725337296
FDR03,OUT027,4785.171841858919
FDS49,OUT027,2671.010234292245
FDD48,OUT010,345.3172114458573
NCF18,OUT017,2535.824115227163
NCD43,OUT027,3126.7674781138744
NCD54,OUT018,2787.640290797769
FDY19,OUT010,347.4792167416274
NCY54,OUT017,2107.8112584627825
NCL19,OUT018,2837.4892472651018
FDP23,OUT010,1939.1379934737615
FDC26,OUT013,1334.515388577804
FDR14,OUT010,-971.2922652305908
NCS41,OUT035,2684.378816974876
FDF41,OUT035,3572.7954769411185
FDU34,OUT046,1963.090697280405
DRH11,OUT046,951.7005819602844
FDM03,OUT013,1252.8759794281073
FDS31,OUT017,2506.02022599909
FDJ20,OUT017,1490.9323995098266
FDV44,OUT027,4477.503509496719
FDG02,OUT049,3262.8878274493068
FDA09,OUT013,2538.0941998741214
FDT04,OUT013,213.23103516530796
FDL58,OUT019,3021.3178117149955
FDE52,OUT045,1394.301531232059
FDW12,OUT035,2182.8412719966445
FDL51,OUT017,3023.4295209223296
NCY42,OUT027,3719.0277309286053
FDR07,OUT017,1078.6464556411952
FDN40,OUT045,2222.132039060809
FDB35,OUT027,2904.634651841771
FDA22,OUT017,2151.6316930273733
NCL06,OUT046,4103.997354698877
FDI35,OUT013,2551.751821669089
NCW42,OUT045,3324.1346634069655
NCX06,OUT049,3102.403556580874
FDC37,OUT027,3182.950461937478
FDZ14,OUT018,2501.5220231699686
DRG49,OUT049,4082.0552034293983
NCG06,OUT045,3913.919975848355
DRC36,OUT045,2703.8221116943264
FDV21,OUT019,525.3797233399221
FDB53,OUT046,2226.829072029537
DRP47,OUT019,2638.56097506333
FDA14,OUT013,1947.7898914116172
DRC24,OUT035,2300.102542985213
FDW21,OUT018,2235.9353296057043
NCH29,OUT046,1603.0587082879429
FDU58,OUT013,2746.411063627384
FDY27,OUT017,2426.329171669897
FDV56,OUT035,1655.8838121242534
FDT59,OUT046,3712.2690944762803
FDB23,OUT046,3699.748782573222
FDR49,OUT045,472.6939026026266
FDB03,OUT010,2028.256416037706
FDN39,OUT045,2503.8753463292105
FDX02,OUT027,4931.460790572488
FDQ16,OUT027,3161.670595343215
FDU35,OUT018,2039.065297482609
NCT29,OUT013,1583.5389422250514
FDZ27,OUT046,874.2676364686367
FDN57,OUT017,1799.998131029788
FDA03,OUT018,2858.966646451049
FDZ36,OUT045,2824.1422189324667
NCU05,OUT013,955.2992045823701
FDT39,OUT018,3014.779154130459
FDK60,OUT017,1113.5555211066148
FDZ25,OUT017,2349.5166391293924
FDG12,OUT046,2098.034138360248
DRB01,OUT019,1864.5997214157837
NCC43,OUT027,5288.518240278914
FDX13,OUT019,2819.0826504227757
FDM22,OUT049,1145.4249881634519
FDJ03,OUT027,2245.2275745928187
FDU14,OUT018,4393.826082646619
FDB33,OUT010,1084.990709762521
FDP27,OUT046,2918.731570816859
FDO38,OUT010,-362.23994383782826
FDE28,OUT027,4995.353103979924
FDO27,OUT035,1170.1285080151883
DRL23,OUT027,3231.994864325821
FDS28,OUT046,937.6211813668306
FDX24,OUT013,1221.2723086210349
FDZ02,OUT035,1424.891469482025
FDL46,OUT045,1710.185910850585
FDS60,OUT027,4282.325611003689
NCO06,OUT017,25.811941788091644
FDO16,OUT035,1229.488713397715
FDC60,OUT049,1561.8948654597802
FDA48,OUT018,3853.677092780845
FDZ36,OUT027,4397.02254030772
FDK27,OUT045,1852.0007963797261
FDW23,OUT018,1090.5358890547755
FDM14,OUT018,2312.2433884107804
FDM14,OUT013,1462.508477004973
FDW60,OUT018,3418.7548881752978
FDE21,OUT013,1574.8075538940152
NCM42,OUT035,1582.050693610689
FDY59,OUT010,30.91419057077337
DRI49,OUT049,1327.7324377077166
FDT28,OUT019,1256.7110232954337
FDQ22,OUT018,1183.7294871103068
FDR60,OUT049,1307.0462150405
FDC50,OUT019,158.88084251425403
FDV24,OUT013,1993.8884768581988
DRF48,OUT010,1516.6322946528485
FDQ47,OUT046,490.824180457455
DRN36,OUT049,1804.0244975537685
NCY06,OUT035,1818.4526696810117
FDE52,OUT035,1330.1996936905807
NCB54,OUT045,1870.9354426265018
NCF31,OUT035,2212.533538893382
FDJ08,OUT027,4321.395752453234
NCC07,OUT017,1306.5229131385067
NCD19,OUT027,2358.8687133613766
FDL46,OUT049,2072.946453264825
FDM20,OUT045,3756.3901788644384
NCI06,OUT010,1319.0619551469904
DRM11,OUT035,3898.1481991292953
NCH07,OUT018,2919.484665805122
FDS23,OUT013,1583.4130018206815
FDO49,OUT018,1383.5142425686677
FDS35,OUT049,1168.2785277213652
DRK39,OUT045,1227.6381583944567
DRI39,OUT049,1116.719211587586
FDV04,OUT017,1970.68147131144
NCN14,OUT035,2603.4493956422484
FDH08,OUT013,3372.9369701638966
FDS20,OUT046,2911.138180831287
FDV40,OUT049,1484.4657236730568
FDZ48,OUT010,155.56715100784368
FDS24,OUT027,2864.6481658548205
FDK44,OUT049,2842.488544867803
FDS48,OUT045,2215.8350243503237
FDK26,OUT010,1530.932810435189
FDD23,OUT045,2895.3745878073387
NCH54,OUT017,2090.0066932278432
NCP14,OUT010,-7.95705842362031
FDM60,OUT010,-814.8637449558785
FDV24,OUT017,1894.8412904517281
FDH08,OUT018,4157.252242174498
FDS12,OUT027,3246.4386886410107
FDR39,OUT027,4224.3730964873375
FDP12,OUT027,2098.409186850969
DRF60,OUT027,5183.631667581911
FDC09,OUT035,1537.7737864128521
FDF50,OUT018,3517.9432999820715
FDG28,OUT035,3701.1136046894603
NCE19,OUT017,408.3721163617606
NCM53,OUT010,176.70642629086797
NCN18,OUT049,1946.8724664919118
FDF32,OUT035,2914.1973199117547
FDF11,OUT013,3553.4216383936086
DRI59,OUT049,3814.211749954087
NCG54,OUT035,2426.015928939122
FDM44,OUT046,1676.4888768636292
FDT57,OUT018,4264.452138987015
FDV24,OUT046,2333.9865989270284
FDI50,OUT019,2598.907209589071
FDS09,OUT035,647.1507316062941
NCC31,OUT027,3917.3320962494695
FDQ07,OUT019,2293.5454103457346
FDC22,OUT017,2521.637598337331
FDZ56,OUT046,2740.593178499188
FDZ40,OUT019,-189.00838628525582
FDS46,OUT027,3369.900121492647
DRD24,OUT045,2159.4969201299195
FDV45,OUT017,2575.5962592025726
FDL26,OUT045,2284.0966186968044
FDA56,OUT018,2524.364558234194
FDN27,OUT046,1917.1469202092403
FDM20,OUT049,4089.4210054078635
FDO16,OUT017,979.7442010920518
FDL03,OUT035,2979.6095818610893
FDE58,OUT046,1879.3962904923592
FDI02,OUT027,3160.0530237943562
NCC55,OUT019,-503.5193149708398
FDR03,OUT018,3860.7623881528384
FDB14,OUT017,1024.1181072752697
FDR45,OUT013,3503.8464551987413
NCN07,OUT017,1662.7954849568223
FDM51,OUT019,658.7375477135681
FDT52,OUT027,5339.5019794615
FDL26,OUT046,2424.2594921395184
NCZ42,OUT046,3842.5206042603672
DRI47,OUT019,1332.104541070673
FDW40,OUT013,1871.9499460413194
FDN34,OUT046,2723.304899414761
FDS01,OUT035,2679.906863267237
NCG55,OUT045,1717.2248780150571
FDC11,OUT035,1046.4289550562944
FDX35,OUT018,4067.7450050686953
NCB06,OUT046,2493.8453528610416
FDR09,OUT019,2905.588864403444
FDC53,OUT017,1207.850827216988
FDY45,OUT013,3658.7519829437947
FDA22,OUT010,1041.2613588928775
FDE02,OUT035,1212.3813455898585
FDW21,OUT045,1605.1259199332294
FDV34,OUT046,1331.2518985596498
FDS59,OUT049,2014.7864632298902
NCW17,OUT017,1654.9312960438683
NCK54,OUT046,1915.5252548806584
FDG17,OUT019,2839.538520510329
FDG35,OUT017,2339.59881736444
FDD08,OUT010,-853.7023528551695
NCO07,OUT017,2974.0450025610235
FDJ10,OUT010,559.0412185884516
FDW36,OUT017,1234.637184637213
FDW21,OUT010,173.34750912975164
FDY19,OUT017,1472.6895580298597
DRE03,OUT013,524.0118351413291
NCC55,OUT049,816.2477435551134
FDH52,OUT010,-424.9479703194677
FDO09,OUT017,3669.364185095483
FDU43,OUT045,3664.0906354366502
FDX09,OUT010,1196.3315858133524
FDH40,OUT019,202.85479375019213
FDW58,OUT017,1318.339765254765
FDC47,OUT017,3043.859330220587
NCR41,OUT035,1357.757209927424
DRG49,OUT035,3667.916499116182
FDC52,OUT027,3963.539444371116
FDY13,OUT046,1260.6351549029723
FDY35,OUT013,508.56270677400266
FDI35,OUT017,2468.956817012244
NCU18,OUT049,2434.1351177641795
FDY33,OUT018,2974.570536339841
FDC15,OUT027,3705.2809561189156
FDU01,OUT049,3177.319743251945
NCU42,OUT046,2749.577809576297
NCV29,OUT018,3338.802831049296
NCY30,OUT017,2498.248653352078
FDQ46,OUT049,1911.9054715444108
FDG58,OUT027,3854.3663656096264
FDK33,OUT017,3007.8442713391614
NCD07,OUT045,1685.886723803209
NCX29,OUT027,3641.418902306538
NCT42,OUT013,2062.99017310556
DRN59,OUT035,572.7441439648865
FDI44,OUT035,989.8305004310764
FDA45,OUT049,2842.724853533597
FDP31,OUT045,781.6480893062237
FDY01,OUT046,1707.4243393734678
FDT09,OUT018,2719.1601122766233
DRH03,OUT027,2954.481249918368
FDA36,OUT018,3522.9268458396277
NCF31,OUT017,2002.8999270350387
FDG14,OUT049,2663.8834702027684
FDG28,OUT027,5345.708635631134
FDU14,OUT049,4170.790677579118
FDY47,OUT019,1022.9949053314226
FDI56,OUT049,1591.3713861283181
DRD01,OUT013,665.6145150111199
FDM22,OUT046,944.3076376819204
FDH33,OUT013,251.58710447347835
DRZ24,OUT013,1546.0861319028754
NCQ38,OUT046,1753.3330082868306
FDO16,OUT027,2836.778694102989
FDU07,OUT027,3776.2199165984116
NCB07,OUT013,2682.567228161364
FDU48,OUT045,1945.4122753978136
NCM43,OUT045,2513.3664174885
FDR31,OUT010,819.9747615286262
DRK49,OUT018,1235.293343252701
NCI30,OUT010,2281.259460483516
DRD60,OUT017,2501.7351629616537
NCG19,OUT046,3547.38768878946
FDH12,OUT035,1425.2723462653194
FDM32,OUT035,1319.0198852998183
FDM27,OUT035,2145.938928645348
NCU53,OUT027,4012.909096060174
NCQ18,OUT046,1452.359204217465
FDS10,OUT013,2525.1420628877027
FDB33,OUT027,3980.369975196392
FDI12,OUT013,1022.5587343473367
NCW42,OUT013,3134.982636607902
NCC06,OUT018,2563.0856480339858
FDW02,OUT017,1664.4603393337202
NCD43,OUT017,1299.9423125834865
FDM57,OUT018,1837.2165836404947
FDA58,OUT017,3223.6916660745496
FDK56,OUT046,2814.606088347742
FDP52,OUT045,3522.788980909327
FDW20,OUT018,2504.134225448483
FDS52,OUT049,1895.5288563118597
NCT29,OUT018,2367.4645200171685
NCL54,OUT013,2399.7271821242225
FDC05,OUT045,2958.120387358539
FDF34,OUT035,3027.755398045299
FDP03,OUT027,3440.6784801123617
FDD32,OUT010,-117.28943007900261
FDZ10,OUT045,1856.2843573430546
FDZ40,OUT035,709.5553576786142
FDD51,OUT018,1098.9546141150167
NCY30,OUT019,1799.7234733625519
FDP58,OUT017,2873.7919905457757
FDV49,OUT017,3783.6153535957324
FDY24,OUT019,-437.609590824556
NCO55,OUT017,1213.781046482662
FDR13,OUT017,1532.545400968269
FDS51,OUT017,620.8698360548681
FDP26,OUT045,1383.4266809875626
NCB54,OUT027,3471.3647116783163
FDF32,OUT017,2660.8123193483225
FDN31,OUT018,3442.352692988951
DRM48,OUT017,114.05895279119932
FDN20,OUT049,2921.246326606218
DRL01,OUT046,3752.937322800662
FDV56,OUT049,2035.9331209664479
DRH13,OUT027,3227.3356361010533
FDA03,OUT017,1948.454417376658
FDF47,OUT027,4874.208649668046
FDX32,OUT046,2312.0469530989067
FDX57,OUT049,1810.3087348200088
NCA30,OUT045,2719.204887779845
FDO49,OUT013,566.6369563736791
FDL04,OUT019,394.82521999028154
DRM48,OUT035,355.4354769312963
FDR16,OUT013,2985.64053841521
NCC19,OUT018,3449.8578697594426
NCE42,OUT045,3619.247500310405
FDY24,OUT017,396.0838365103143
FDH19,OUT049,3009.5204681210585
FDJ46,OUT013,2425.536901139503
FDN45,OUT010,1809.941501715709
FDY08,OUT035,1875.8449680904446
FDZ37,OUT035,1303.4556448137982
NCT30,OUT045,580.519379427401
DRY23,OUT018,1178.9584101107148
NCZ30,OUT018,2465.7504232892143
